Clarkitecture, alu/ADDIU-v1, ADDIU, Pass, dt10, 
Clarkitecture, alu/ADDIU-v2, ADDIU, Pass, dt10, 
Clarkitecture, alu/ADDIU-v3, ADDIU, Pass, dt10, 
Clarkitecture, alu/ADDI-v1, ADDI, Pass, dt10, 
Clarkitecture, alu/ADDI-v2, ADDI, Pass, dt10, 
Clarkitecture, alu/ADDI-v3, ADDI, Pass, dt10, 
Clarkitecture, alu/ADD-nowrap1, ADD, Pass, dt10, 
Clarkitecture, alu/ADD-nowrap2, ADD, Pass, dt10, 
Clarkitecture, alu/ADD-nowrap, ADD, Pass, dt10, 
Clarkitecture, alu/ADDU-nowrap, ADDU, Pass, dt10, 
Clarkitecture, alu/ADDU-ret, ADDU, Pass, dt10, 
Clarkitecture, alu/ADDU-wrap, ADDU, Pass, dt10, 
Clarkitecture, alu/ADD-wrap2, ADD, Pass, dt10, 
Clarkitecture, alu/ADD-wrap, ADD, Pass, dt10, 
Clarkitecture, alu/ANDI-v1, ANDI, Pass, dt10, 
Clarkitecture, alu/ANDI-v2, ANDI, Pass, dt10, 
Clarkitecture, alu/ANDI-v3, ANDI, Pass, dt10, 
Clarkitecture, alu/ANDI-v4, ANDI, Pass, dt10, 
Clarkitecture, alu/AND-v1, AND, Pass, dt10, 
Clarkitecture, alu/AND-v2, AND, Pass, dt10, 
Clarkitecture, alu/AND-v3, AND, Pass, dt10, 
Clarkitecture, alu/LUI-v1, LUI, Pass, dt10, 
Clarkitecture, alu/LUI-v2, LUI, Pass, dt10, 
Clarkitecture, alu/ORI-v1, ORI, Pass, dt10, 
Clarkitecture, alu/ORI-v2, ORI, Pass, dt10, 
Clarkitecture, alu/ORI-v3, ORI, Pass, dt10, 
Clarkitecture, alu/ORI-v4, ORI, Pass, dt10, 
Clarkitecture, alu/ORI-v5, ORI, Pass, dt10, 
Clarkitecture, alu/OR-v1, OR, Pass, dt10, 
Clarkitecture, alu/OR-v2, OR, Pass, dt10, 
Clarkitecture, alu/OR-v3, OR, Pass, dt10, 
Clarkitecture, alu/SLTIU-v1, SLTIU, Pass, dt10, 
Clarkitecture, alu/SLTIU-v2, SLTIU, Pass, dt10, 
Clarkitecture, alu/SLTIU-v3, SLTIU, Pass, dt10, 
Clarkitecture, alu/SLTIU-v4, SLTIU, Pass, dt10, 
Clarkitecture, alu/SLTIU-v5, SLTIU, Pass, dt10, 
Clarkitecture, alu/SLTI-v1, SLTI, Pass, dt10, 
Clarkitecture, alu/SLTI-v2, SLTI, Pass, dt10, 
Clarkitecture, alu/SLTI-v3, SLTI, Pass, dt10, 
Clarkitecture, alu/SLTI-v4, SLTI, Pass, dt10, 
Clarkitecture, alu/SLTI-v5, SLTI, Pass, dt10, 
Clarkitecture, alu/SLTU-v1, SLTU, Pass, dt10, 
Clarkitecture, alu/SLTU-v2, SLTU, Pass, dt10, 
Clarkitecture, alu/SLTU-v3, SLTU, Pass, dt10, 
Clarkitecture, alu/SLTU-v4, SLTU, Pass, dt10, 
Clarkitecture, alu/SLT-v1, SLT, Pass, dt10, 
Clarkitecture, alu/SLT-v2, SLT, Pass, dt10, 
Clarkitecture, alu/SLT-v3, SLT, Pass, dt10, 
Clarkitecture, alu/SLT-v4, SLT, Pass, dt10, 
Clarkitecture, alu/SUB-neg-res, SUB, Pass, dt10, 
Clarkitecture, alu/SUB-pos-res, SUB, Pass, dt10, 
Clarkitecture, alu/SUB-wrap, SUB, Pass, dt10, 
Clarkitecture, alu/XOR-v1, XOR, Pass, dt10, 
Clarkitecture, alu/XOR-v2, XOR, Pass, dt10, 
Clarkitecture, branch/BEQ-delay-slot, BEQ, Pass, dt10, 
Clarkitecture, branch/BEQ-loop, BEQ, Pass, dt10, 
Clarkitecture, branch/BEQ-loop-v2, BEQ, Pass, dt10, 
Clarkitecture, branch/BEQ-not-taken, BEQ, Pass, dt10, 
Clarkitecture, branch/BEQ-taken, BEQ, Pass, dt10, 
Clarkitecture, branch/BGEZAL-not-taken-v1, BGEZAL, Pass, dt10, 
Clarkitecture, branch/BGEZAL-not-taken-v2, BGEZAL, Pass, dt10, 
Clarkitecture, branch/BGEZAL-taken-v1, BGEZAL, Pass, dt10, 
Clarkitecture, branch/BGEZAL-taken-v2, BGEZAL, Pass, dt10, 
Clarkitecture, branch/BGEZ-delay-slot, BGEZ, Pass, dt10, 
Clarkitecture, branch/BGEZ-loop, BGEZ, Pass, dt10, 
Clarkitecture, branch/BGEZ-not-taken, BGEZ, Pass, dt10, 
Clarkitecture, branch/BGEZ-taken, BGEZ, Pass, dt10, 
Clarkitecture, branch/BGTZ-delay-slot, BGTZ, Pass, dt10, 
Clarkitecture, branch/BGTZ-loop, BGTZ, Pass, dt10, 
Clarkitecture, branch/BGTZ-not-taken, BGTZ, Pass, dt10, 
Clarkitecture, branch/BGTZ-taken, BGTZ, Pass, dt10, 
Clarkitecture, branch/BLEZ-delay-slot, BLEZ, Pass, dt10, 
Clarkitecture, branch/BLEZ-loop, BLEZ, Pass, dt10, 
Clarkitecture, branch/BLEZ-not-taken, BLEZ, Pass, dt10, 
Clarkitecture, branch/BLEZ-taken, BLEZ, Pass, dt10, 
Clarkitecture, branch/BLTZAL-not-taken-v1, BLTZAL, Pass, dt10, 
Clarkitecture, branch/BLTZAL-not-taken-v2, BLTZAL, Pass, dt10, 
Clarkitecture, branch/BLTZAL-taken-v1, BLTZAL, Pass, dt10, 
Clarkitecture, branch/BLTZAL-taken-v2, BLTZAL, Pass, dt10, 
Clarkitecture, branch/BLTZ-delay-slot, BLTZ, Pass, dt10, 
Clarkitecture, branch/BLTZ-loop, BLTZ, Pass, dt10, 
Clarkitecture, branch/BLTZ-not-taken, BLTZ, Pass, dt10, 
Clarkitecture, branch/BLTZ-taken, BLTZ, Pass, dt10, 
Clarkitecture, branch/BNE-delay-slot, BNE, Pass, dt10, 
Clarkitecture, branch/BNE-loop, BNE, Pass, dt10, 
Clarkitecture, branch/BNE-loop-v2, BNE, Pass, dt10, 
Clarkitecture, branch/BNE-not-taken, BNE, Pass, dt10, 
Clarkitecture, branch/BNE-taken, BNE, Pass, dt10, 
Clarkitecture, branch/JALR-v1, JALR, Pass, dt10, 
Clarkitecture, branch/JALR-v2, JALR, Pass, dt10, 
Clarkitecture, branch/JALR-v3, JALR, Pass, dt10, 
Clarkitecture, branch/JAL-v1, JAL, Pass, dt10, 
Clarkitecture, branch/JAL-v2, JAL, Pass, dt10, 
Clarkitecture, branch/JAL-v3, JAL, Pass, dt10, 
Clarkitecture, branch/JR-backwards, JR, Pass, dt10, 
Clarkitecture, branch/JR-invalid, JR, Pass, dt10, 
Clarkitecture, branch/JR-nothing, JR, Pass, dt10, 
Clarkitecture, branch/JR-return-immediate, JR, Pass, dt10, 
Clarkitecture, branch/JR-return-immediate-nodelay, JR, Pass, dt10, 
Clarkitecture, branch/J-v1, J, Pass, dt10, 
Clarkitecture, branch/J-v2, J, Pass, dt10, 
Clarkitecture, branch/J-v3, J, Pass, dt10, 
Clarkitecture, mem/LBU-v1, LBU, Pass, dt10, 
Clarkitecture, mem/LBU-v2, LBU, Pass, dt10, 
Clarkitecture, mem/LBU-v3, LBU, Pass, dt10, 
Clarkitecture, mem/LBU-v4, LBU, Pass, dt10, 
Clarkitecture, mem/LBU-v5, LBU, Pass, dt10, 
Clarkitecture, mem/LBU-v6, LBU, Fail, dt10, Expected retcode 245 but got retcode 244.
Clarkitecture, mem/LBU-v7, LBU, Fail, dt10, Expected retcode 15 but got retcode 255.
Clarkitecture, mem/LBU-v8, LBU, Fail, dt10, Expected retcode 7 but got retcode 127.
Clarkitecture, mem/LB-v1, LB, Pass, dt10, 
Clarkitecture, mem/LB-v2, LB, Pass, dt10, 
Clarkitecture, mem/LB-v3, LB, Pass, dt10, 
Clarkitecture, mem/LB-v4, LB, Pass, dt10, 
Clarkitecture, mem/LB-v5, LB, Pass, dt10, 
Clarkitecture, mem/LB-v6, LB, Fail, dt10, Expected retcode 245 but got retcode 244.
Clarkitecture, mem/LB-v7, LB, Pass, dt10, 
Clarkitecture, mem/LB-v8, LB, Fail, dt10, Expected retcode 7 but got retcode 127.
Clarkitecture, mem/LHU-v1, LHU, Pass, dt10, 
Clarkitecture, mem/LHU-v2, LHU, Pass, dt10, 
Clarkitecture, mem/LHU-v3, LHU, Pass, dt10, 
Clarkitecture, mem/LHU-v4, LHU, Pass, dt10, 
Clarkitecture, mem/LHU-v5, LHU, Pass, dt10, 
Clarkitecture, mem/LHU-v6, LHU, Pass, dt10, 
Clarkitecture, mem/LHU-v7, LHU, Fail, dt10, Expected retcode 8 but got retcode 0.
Clarkitecture, mem/LHU-v8, LHU, Fail, dt10, Expected retcode 7 but got retcode 255.
Clarkitecture, mem/LH-v1, LH, Pass, dt10, 
Clarkitecture, mem/LH-v2, LH, Pass, dt10, 
Clarkitecture, mem/LH-v3, LH, Pass, dt10, 
Clarkitecture, mem/LH-v4, LH, Pass, dt10, 
Clarkitecture, mem/LH-v5, LH, Pass, dt10, 
Clarkitecture, mem/LH-v6, LH, Pass, dt10, 
Clarkitecture, mem/LH-v7, LH, Fail, dt10, Expected retcode 248 but got retcode 0.
Clarkitecture, mem/LH-v8, LH, Fail, dt10, Expected retcode 7 but got retcode 255.
Clarkitecture, mem/LW-getc2, LW, Pass, dt10, 
Clarkitecture, mem/LW-getc3, LW, Pass, dt10, 
Clarkitecture, mem/LW-getc, LW, Pass, dt10, 
Clarkitecture, mem/LWL-getc, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v1, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v2, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v3, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v4, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v5, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v6, LWL, Pass, dt10, 
Clarkitecture, mem/LWL-v7, LWL, Pass, dt10, 
Clarkitecture, mem/LW-read-data-section, LW, Pass, dt10, 
Clarkitecture, mem/LWR-getc, LWR, Pass, dt10, 
Clarkitecture, mem/LWR-v1, LWR, Pass, dt10, 
Clarkitecture, mem/LWR-v2, LWR, Pass, dt10, 
Clarkitecture, mem/LWR-v3, LWR, Pass, dt10, 
Clarkitecture, mem/LWR-v4, LWR, Pass, dt10, 
Clarkitecture, mem/LWR-v5, LWR, Pass, dt10, 
Clarkitecture, mem/LWR-v6, LWR, Pass, dt10, 
Clarkitecture, mem/LW-v1, LW, Pass, dt10, 
Clarkitecture, mem/LW-v2, LW, Pass, dt10, 
Clarkitecture, mem/LW-v3, LW, Pass, dt10, 
Clarkitecture, mem/LW-v4, LW, Pass, dt10, 
Clarkitecture, mem/SB-v1, SB, Pass, dt10, 
Clarkitecture, mem/SB-v2, SB, Pass, dt10, 
Clarkitecture, mem/SB-v3, SB, Pass, dt10, 
Clarkitecture, mem/SB-v4, SB, Pass, dt10, 
Clarkitecture, mem/SB-v5, SB, Pass, dt10, 
Clarkitecture, mem/SB-v6, SB, Pass, dt10, 
Clarkitecture, mem/SB-v7, SB, Pass, dt10, 
Clarkitecture, mem/SH-v1, SH, Pass, dt10, 
Clarkitecture, mem/SH-v2, SH, Pass, dt10, 
Clarkitecture, mem/SH-v3, SH, Pass, dt10, 
Clarkitecture, mem/SH-v4, SH, Pass, dt10, 
Clarkitecture, mem/SH-v5, SH, Pass, dt10, 
Clarkitecture, mem/SH-v6, SH, Pass, dt10, 
Clarkitecture, mem/SH-v7, SH, Pass, dt10, 
Clarkitecture, mem/SW-putc, SW, Pass, dt10, 
Clarkitecture, mem/SW-read-write-data-section, SW, Pass, dt10, 
Clarkitecture, mem/SW-v1, SW, Pass, dt10, 
Clarkitecture, mem/SW-v2, SW, Pass, dt10, 
Clarkitecture, mem/SW-v3, SW, Pass, dt10, 
Clarkitecture, mem/SW-v4, SW, Pass, dt10, 
Clarkitecture, mem/SW-v5, SW, Pass, dt10, 
Clarkitecture, mem/SW-v6, SW, Pass, dt10, 
Clarkitecture, mult/DIVU-v1, DIVU, Fail, dt10, Expected retcode 1 but got retcode 244.
Clarkitecture, mult/DIVU-v2, DIVU, Fail, dt10, Expected retcode 0 but got retcode 244.
Clarkitecture, mult/DIVU-v3, DIVU, Fail, dt10, Expected retcode 2 but got retcode 244.
Clarkitecture, mult/DIVU-v4, DIVU, Fail, dt10, Expected retcode 1 but got retcode 244.
Clarkitecture, mult/DIVU-v5, DIVU, Fail, dt10, Expected retcode 3 but got retcode 244.
Clarkitecture, mult/DIVU-v6, DIVU, Fail, dt10, Expected retcode 2 but got retcode 244.
Clarkitecture, mult/DIV-v1, DIV, Fail, dt10, Expected retcode 255 but got retcode 244.
Clarkitecture, mult/DIV-v2, DIV, Fail, dt10, Expected retcode 255 but got retcode 244.
Clarkitecture, mult/DIV-v3, DIV, Fail, dt10, Expected retcode 2 but got retcode 244.
Clarkitecture, mult/DIV-v4, DIV, Fail, dt10, Expected retcode 254 but got retcode 244.
Clarkitecture, mult/DIV-v5, DIV, Fail, dt10, Expected retcode 2 but got retcode 244.
Clarkitecture, mult/DIV-v6, DIV, Fail, dt10, Expected retcode 253 but got retcode 244.
Clarkitecture, mult/DIV-v7, DIV, Fail, dt10, Expected retcode 254 but got retcode 244.
Clarkitecture, mult/DIV-v8, DIV, Fail, dt10, Expected retcode 3 but got retcode 244.
Clarkitecture, mult/MFHI-v1, MFHI, Pass, dt10, 
Clarkitecture, mult/MFHI-v2, MFHI, Pass, dt10, 
Clarkitecture, mult/MFHI-v3, MFHI, Pass, dt10, 
Clarkitecture, mult/MFLO-v1, MFLO, Pass, dt10, 
Clarkitecture, mult/MFLO-v2, MFLO, Pass, dt10, 
Clarkitecture, mult/MFLO-v3, MFLO, Pass, dt10, 
Clarkitecture, mult/MTHI-v1, MTHI, Pass, dt10, 
Clarkitecture, mult/MTHI-v2, MTHI, Pass, dt10, 
Clarkitecture, mult/MULTU-v1, MULTU, Pass, dt10, 
Clarkitecture, mult/MULTU-v2, MULTU, Pass, dt10, 
Clarkitecture, mult/MULTU-v3, MULTU, Pass, dt10, 
Clarkitecture, mult/MULTU-v4, MULTU, Pass, dt10, 
Clarkitecture, mult/MULTU-v5, MULTU, Pass, dt10, 
Clarkitecture, mult/MULTU-v6, MULTU, Pass, dt10, 
Clarkitecture, mult/MULTU-v7, MULTU, Pass, dt10, 
Clarkitecture, mult/MULT-v1, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v2, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v3, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v4, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v5, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v6, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v7, MULT, Pass, dt10, 
Clarkitecture, mult/MULT-v8, MULT, Pass, dt10, 
Clarkitecture, shift/SLL-v1, SLL, Pass, dt10, 
Clarkitecture, shift/SLL-v2, SLL, Pass, dt10, 
Clarkitecture, shift/SLL-v3, SLL, Pass, dt10, 
Clarkitecture, shift/SLLV-v1, SLLV, Pass, dt10, 
Clarkitecture, shift/SLLV-v2, SLLV, Pass, dt10, 
Clarkitecture, shift/SLLV-v3, SLLV, Pass, dt10, 
Clarkitecture, shift/SRA-v1, SRA, Pass, dt10, 
Clarkitecture, shift/SRA-v2, SRA, Pass, dt10, 
Clarkitecture, shift/SRA-v3, SRA, Pass, dt10, 
Clarkitecture, shift/SRA-v4, SRA, Pass, dt10, 
Clarkitecture, shift/SRA-v5, SRA, Pass, dt10, 
Clarkitecture, shift/SRAV-v1, SRAV, Pass, dt10, 
Clarkitecture, shift/SRAV-v2, SRAV, Pass, dt10, 
Clarkitecture, shift/SRAV-v3, SRAV, Pass, dt10, 
Clarkitecture, shift/SRAV-v4, SRAV, Pass, dt10, 
Clarkitecture, shift/SRAV-v5, SRAV, Pass, dt10, 
Clarkitecture, shift/SRL-v1, SRL, Pass, dt10, 
Clarkitecture, shift/SRL-v2, SRL, Pass, dt10, 
Clarkitecture, shift/SRL-v3, SRL, Pass, dt10, 
Clarkitecture, shift/SRL-v4, SRL, Pass, dt10, 
Clarkitecture, shift/SRL-v5, SRL, Pass, dt10, 
Clarkitecture, shift/SRLV-v1, SRLV, Pass, dt10, 
Clarkitecture, shift/SRLV-v2, SRLV, Pass, dt10, 
Clarkitecture, shift/SRLV-v3, SRLV, Pass, dt10, 
Clarkitecture, shift/SRLV-v4, SRLV, Pass, dt10, 
Clarkitecture, shift/SRLV-v5, SRLV, Pass, dt10, 
